JobsType_JobInPreparation_ContinueAtJobEnd,6006,Variable
JobsType_JobInPreparation_JobDescription,6007,Variable
BinarySchema_Euromap83_BinarySchema_PageEntryDataType,6008,Variable
MessageConditionType_Id,6009,Variable
Server_Namespaces_Euromap83_NamespaceMetadata_IsNamespaceSubset,6010,Variable
StartEnumeration_EnumStrings,6011,Variable
RemoteAccessLogType_RemoteUserName,6012,Variable
RemoteAccessLogType_UserChange,6013,Variable
RemoteAccessLogType_Origin,6014,Variable
MessageConditionType_IsStandstillMessage,6015,Variable
MouldCycleParametersType_Index,6016,Variable
TemperatureZoneCycleParametersType_ActualTemperature,6017,Variable
ProductionDatasetListsType_GetProductionDatasetList_InputArguments,6018,Variable
ProductionDatasetListsType_GetProductionDatasetList_OutputArguments,6019,Variable
ProductionDatasetListsType_SendProductionDatasetList_InputArguments,6020,Variable
ProductionControlType_ProductionReleasedByMES,6021,Variable
RequestProductionDatasetReadEventType_Name,6022,Variable
RequestProductionDatasetWriteEventType_Name,6023,Variable
RequestProductionDatasetWriteEventType_Storage,6024,Variable
RequestProductionDatasetWriteEventType_Components,6025,Variable
ProductionDatasetManagementType_ProductionDatasetLists_GetProductionDatasetList_InputArguments,6026,Variable
ProductionDatasetManagementType_ProductionDatasetLists_GetProductionDatasetList_OutputArguments,6027,Variable
ProductionDatasetManagementType_ProductionDatasetLists_SendProductionDatasetList_InputArguments,6028,Variable
ProductionDatasetManagementType_ProductionDatasetTransfer_ClientProcessingTimeout,6029,Variable
ProductionDatasetManagementType_ProductionDatasetTransfer_CloseAndCommit_InputArguments,6030,Variable
ProductionDatasetManagementType_ProductionDatasetTransfer_CloseAndCommit_OutputArguments,6031,Variable
ProductionDatasetManagementType_ProductionDatasetTransfer_GenerateFileForRead_InputArguments,6032,Variable
ProductionDatasetManagementType_ProductionDatasetTransfer_GenerateFileForRead_OutputArguments,6033,Variable
PowerUnitType_ActualTemperature,6034,Variable
PowerUnitType_ActualTemperature_EURange,6035,Variable
PowerUnitType_ActualTemperature_EngineeringUnits,6036,Variable
